Risk Title,Risk Statement/Description,Risk Level (Inherent),Primary Control Type,Primary Control Description,Secondary Control Type,Secondary Control Description
Insufficient Competition,Risk of limited vendor competition resulting in higher costs and reduced quality of services.,High,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Property Accountability Failure,Risk of inability to account for government property assets due to poor tracking and documentation.,Medium,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Detective,Security information and event management system aggregating logs from all systems for real-time threat analysis.,Preventive,Removable media controls blocking unauthorized USB devices and requiring encryption for approved devices.
Unliquidated Obligations,"Risk of obligations remaining open beyond the period of performance, tying up funds that could be used elsewhere.",High,Detective,Monthly reconciliation of accounts payable and receivable with independent verification of transaction accuracy.,Detective,"Trend analysis of payment data to identify emerging patterns of waste, fraud, or abuse."
Statistical Methodology Error,"Risk of using inappropriate statistical methods in analyses, leading to incorrect scientific or policy conclusions.",Medium,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Interagency Collaboration Breakdown,Risk of failed coordination with partner agencies undermining joint program objectives.,Medium,Preventive,Earned value management system tracking schedule and cost performance indices for all major projects.,Detective,Customer satisfaction surveys measuring stakeholder perception of program quality and responsiveness.
Field Worker Safety,Risk of injuries to field staff conducting inspections or sampling at hazardous or remote sites.,Low,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Energy Management Non-Compliance,Risk of failing to meet federal energy efficiency and sustainability mandates for agency facilities.,Medium,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Unauthorized Commitment,Risk of employees making commitments or agreements with vendors without proper contracting authority.,High,Preventive,Organizational conflict of interest clauses included in all advisory and assistance services contracts.,Preventive,Market research documentation demonstrating awareness of available sources and price reasonableness.
Counterfeit Parts Introduction,Risk of counterfeit or substandard parts entering the supply chain for laboratory or field equipment.,Medium,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Grant Fund Misuse,Risk that grant recipients use awarded funds for purposes not authorized under the grant agreement.,Medium,Preventive,"Segregation of duties requiring dual authorization for all fund transfers exceeding $10,000 with documented approval chains.",Detective,Independent periodic testing of key financial controls by internal audit or quality assurance staff.
Grant Competition Fairness,Risk of bias or inconsistency in the competitive grant review and selection process.,Medium,Preventive,Automated grant closeout tracking system with escalating notifications for grants approaching end of performance period.,Preventive,Grant application technical review panels with standardized scoring criteria and conflict of interest screening.
Brownfield Redevelopment Liability,Risk of unexpected contamination discovered during brownfield redevelopment creating unforeseen cleanup obligations.,Medium,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,Detective,Remote sensing and drone technology for monitoring difficult-to-access sites and large geographic areas.
Indirect Cost Rate Dispute,Risk of disagreements over negotiated indirect cost rates leading to audit findings or payment delays.,Medium,Corrective,Grant recipient corrective action plans with milestone tracking for resolving compliance deficiencies.,Corrective,Voluntary cost disallowance process allowing recipients to return questioned costs before formal audit findings.
Telework Policy Abuse,Risk of employees not meeting productivity expectations while working remotely due to inadequate oversight.,Low,Corrective,Employee assistance program providing confidential counseling and support services for workplace and personal issues.,,
Grant Competition Fairness,Risk of bias or inconsistency in the competitive grant review and selection process.,Medium,Detective,Quarterly financial and performance report review with desk audits and follow-up on identified discrepancies.,Corrective,Grant suspension and termination procedures for recipients with unresolved compliance deficiencies.
Climate Adaptation Failure,Risk that agency programs fail to adequately account for climate change impacts in planning and operations.,High,Detective,Continuous emission monitoring systems with automated reporting and threshold exceedance notifications.,Corrective,Emergency response cleanup coordination with responsible parties and federal on-scene coordinators.
Union Grievance Escalation,"Risk of unresolved employee grievances escalating to formal proceedings, consuming management resources.",Medium,Preventive,Mandatory anti-harassment training for all employees with annual refresher courses and manager-specific modules.,Detective,Time and attendance audit program verifying leave usage patterns and identifying potential abuse.
Asbestos and Lead Exposure,Risk of employee exposure to asbestos or lead-based paint in older agency-owned or leased facilities.,Medium,Corrective,"Incident investigation procedures with root cause analysis, corrective actions, and follow-up verification.",Detective,Injury and illness trend analysis identifying patterns that indicate systemic safety program weaknesses.
Open Data Compliance Gap,Risk of failing to publish required datasets in accordance with open data mandates and policies.,Medium,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Data Lineage Documentation Gap,"Risk of insufficient documentation of data origins and transformations, reducing trust in analytical outputs.",High,Detective,"Automated data quality dashboards monitoring key data elements for accuracy, timeliness, and completeness metrics.",Preventive,Information classification guide with clear criteria and examples for each sensitivity level.
Archival Storage Failure,Risk of long-term digital archives becoming inaccessible due to format obsolescence or media degradation.,Medium,Preventive,"Data validation rules enforced at the point of entry with automated checks for completeness, format, and range.",Detective,Annual privacy compliance review auditing PII handling practices against Privacy Act requirements.
Shipping and Handling Damage,Risk of sensitive equipment or samples being damaged during transportation between facilities.,Medium,Preventive,Incoming inspection procedures verifying material specifications and authenticity before acceptance into inventory.,Preventive,"Green purchasing requirements ensuring compliance with recycled content, energy efficiency, and biobased mandates."
Laboratory Safety Incident,"Risk of accidents in agency laboratories involving chemical, biological, or radiological materials.",High,Corrective,"Incident investigation procedures with root cause analysis, corrective actions, and follow-up verification.",Detective,Injury and illness trend analysis identifying patterns that indicate systemic safety program weaknesses.
Past Performance Data Gap,Risk of insufficient contractor past performance data leading to poor source selection decisions.,Medium,Corrective,Contractor performance assessment reports documented in federal databases for use in future source selections.,Preventive,Pre-solicitation conferences ensuring prospective offerors understand requirements and evaluation criteria.
Cross-System Data Mismatch,Risk of the same data element having different values across integrated systems due to sync failures.,Medium,Preventive,Role-based data access controls with annual recertification of user permissions by data owners.,Corrective,Identity theft response procedures for individuals affected by agency data breaches.
Performance Period Lapse,"Risk of contracts expiring before renewal or replacement is secured, creating service gaps.",Critical,Detective,"Post-award contract compliance reviews verifying deliverables, invoices, and performance against contract terms.",Corrective,Claims and disputes resolution process providing timely adjudication of contractor claims and protests.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Preventive,Endpoint detection and response agents deployed on all agency workstations and servers with centralized management.,Corrective,Security incident lessons learned reviews with system hardening updates based on identified attack vectors.
Shadow IT Usage,Risk of employees using unauthorized software or cloud services that bypass security controls.,Medium,Preventive,Network segmentation isolating sensitive systems and data from general-purpose network segments.,Detective,User behavior analytics establishing baselines and detecting anomalous access patterns or data exfiltration.
Supply Chain Disruption,"Risk of disruption in the supply of critical materials, equipment, or services needed for agency operations.",High,Preventive,Incoming inspection procedures verifying material specifications and authenticity before acceptance into inventory.,Preventive,"Green purchasing requirements ensuring compliance with recycled content, energy efficiency, and biobased mandates."
Debarment Process Failure,Risk of inadequate processes for suspending or debarring contractors with integrity issues.,High,Corrective,Alternative dispute resolution program offering mediation and negotiation before formal adjudication.,Corrective,Regulatory guidance issuance process clarifying ambiguous requirements based on stakeholder feedback and enforcement experience.
Subrecipient Monitoring Failure,Risk of grant recipients failing to adequately monitor and oversee their subrecipients' use of funds.,High,Preventive,Automated grant closeout tracking system with escalating notifications for grants approaching end of performance period.,Preventive,Grant application technical review panels with standardized scoring criteria and conflict of interest screening.
Cross-Jurisdictional Conflict,"Risk of conflicting federal, state, and local regulatory requirements creating compliance confusion.",Medium,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Insufficient Competition,Risk of limited vendor competition resulting in higher costs and reduced quality of services.,High,Detective,Invoice audit program sampling contractor billing submissions for accuracy and compliance with cost principles.,Detective,Contract file reviews by procurement management ensuring documentation completeness and regulatory compliance.
Quality Assurance Breakdown,Risk of inadequate quality checks allowing deficient work products to be accepted and used.,Low,Preventive,Resource management planning tool projecting staffing needs across programs with gap analysis and mitigation.,Detective,Benchmarking studies comparing program performance against peer agencies and industry best practices.
Procurement Card Misuse,Risk of government purchase cards being used for personal purchases or unauthorized transactions.,Critical,Preventive,Mandatory cost-benefit analysis and approval documentation required before committing funds to new obligations.,Detective,Automated exception reporting flagging transactions that deviate from established patterns or exceed threshold amounts.
Pre-Award Cost Eligibility,Risk of grant recipients incurring costs before the award date that do not meet pre-award cost criteria.,High,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,,
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Detective,"Monthly program status reviews with executive dashboard reporting on milestones, risks, and resource utilization.",Corrective,Program restructuring procedures for consolidating or reorganizing programs that are not achieving intended results.
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Preventive,"Emergency action plans with annual drills for fire, severe weather, active shooter, and chemical release scenarios.",Corrective,Medical emergency response capability with trained first responders and automated external defibrillators on site.
Phishing Attack,Risk of employees falling victim to fraudulent emails designed to steal credentials or install malware.,Low,Preventive,Multi-factor authentication required for all system access with role-based access control enforced at the application level.,Detective,Database activity monitoring logging all privileged user actions with automated alerts for suspicious queries.
Inspector General Finding,Risk of adverse findings from OIG audits identifying material weaknesses in agency programs.,Medium,Preventive,"Legal sufficiency review required for all proposed enforcement actions, settlements, and regulatory interpretations.",Detective,"Compliance tracking database monitoring agency adherence to consent decrees, court orders, and settlement terms."
Hiring Process Delay,"Risk of prolonged vacancy periods due to slow hiring processes, impacting program delivery capacity.",Medium,Corrective,Employee assistance program providing confidential counseling and support services for workplace and personal issues.,Corrective,Reasonable accommodation process ensuring timely and effective responses to employee disability accommodation requests.
Green Procurement Non-Compliance,Risk of failing to meet sustainable acquisition requirements for environmentally preferable products.,Medium,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Improper Payment Processing,"Risk of payments being processed incorrectly, resulting in overpayments, underpayments, or duplicate payments.",Medium,Preventive,System-enforced spending limits on purchase cards with real-time transaction monitoring and blocked merchant categories.,Preventive,Mandatory training on financial management policies for all employees with fund management responsibilities.
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Preventive,Earned value management system tracking schedule and cost performance indices for all major projects.,Detective,Customer satisfaction surveys measuring stakeholder perception of program quality and responsiveness.
Invoice Verification Failure,Risk of paying contractor invoices without adequate verification of work performed or deliverables received.,Medium,Detective,Invoice audit program sampling contractor billing submissions for accuracy and compliance with cost principles.,Detective,Contract file reviews by procurement management ensuring documentation completeness and regulatory compliance.
Space Utilization Inefficiency,Risk of underutilized or poorly configured office space resulting in unnecessary lease costs.,Medium,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,Preventive,Strategic sourcing initiatives establishing blanket purchase agreements for frequently needed materials and services.
Subrecipient Monitoring Failure,Risk of grant recipients failing to adequately monitor and oversee their subrecipients' use of funds.,High,Preventive,"Grant terms and conditions clearly defining allowable costs, reporting requirements, and performance expectations.",Preventive,"New grant recipient orientation providing training on federal requirements, reporting, and financial management."
Vendor Lock-In,"Risk of becoming dependent on a single vendor for critical services, limiting competition and negotiation leverage.",High,Preventive,Procurement integrity briefings required for all evaluation panel members before accessing proposals.,Detective,Random sampling of micro-purchase transactions for compliance with simplified acquisition procedures.
Insider Threat - IT,Risk of authorized users intentionally or accidentally compromising IT systems or data integrity.,Low,Preventive,Zero trust architecture requiring continuous verification of user identity and device health for resource access.,Preventive,Security awareness training for all employees with simulated phishing exercises and tracked completion rates.
Ethics Program Weakness,Risk of inadequate ethics training and guidance leading to employee ethics violations.,Medium,Preventive,Anti-Deficiency Act training required for all fund certifying officials with annual certification.,Preventive,Delegation of authority register ensuring all regulatory and enforcement actions are taken by properly authorized officials.
Unliquidated Obligations,"Risk of obligations remaining open beyond the period of performance, tying up funds that could be used elsewhere.",High,Preventive,Mandatory cost-benefit analysis and approval documentation required before committing funds to new obligations.,Detective,Automated exception reporting flagging transactions that deviate from established patterns or exceed threshold amounts.
Environmental Justice Failure,Risk of disproportionate environmental impacts on disadvantaged communities due to inadequate policy consideration.,Critical,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,Detective,Remote sensing and drone technology for monitoring difficult-to-access sites and large geographic areas.
PFAS Contamination Spread,Risk of per- and polyfluoroalkyl substances spreading through groundwater to drinking water supplies.,High,Preventive,Pre-permit review process with technical evaluation of applicant compliance history and operational capabilities.,Preventive,Public notification requirements for permit applications ensuring community awareness and participation opportunities.
Warehouse Security Gap,Risk of theft or damage to stored equipment and supplies due to inadequate warehouse security.,Medium,Detective,Utility consumption monitoring with benchmarking against federal energy efficiency targets and trending analysis.,Detective,"Vendor performance scorecards tracking delivery timeliness, quality, and responsiveness with quarterly reviews."
Knowledge Management Gap,Risk of institutional knowledge being lost when experienced staff depart without proper documentation.,Critical,Corrective,Corrective action plans developed for programs not meeting performance targets with milestone tracking.,Preventive,"Requirements management process ensuring changes are documented, evaluated, and approved before implementation."
Water Quality Standard Breach,Risk of water bodies failing to meet established quality standards due to inadequate pollution controls.,Medium,Detective,Water quality monitoring network with automated sampling and laboratory analysis at key watershed points.,Detective,Environmental indicator tracking dashboards measuring progress toward national environmental and human health goals.
Emergency Preparedness Gap,Risk of inadequate emergency response plans and drills leaving staff unprepared for emergencies.,Medium,Corrective,Workers compensation case management program ensuring injured employees receive proper medical care and return-to-work support.,,
Pre-Award Cost Eligibility,Risk of grant recipients incurring costs before the award date that do not meet pre-award cost criteria.,High,Preventive,Grants management training required for all project officers with certification in federal grants regulations.,Detective,Risk-based desk reviews of grant recipient financial reports comparing expenditures to approved budgets.
Pre-Award Cost Eligibility,Risk of grant recipients incurring costs before the award date that do not meet pre-award cost criteria.,High,Corrective,Grant recipient corrective action plans with milestone tracking for resolving compliance deficiencies.,Corrective,Voluntary cost disallowance process allowing recipients to return questioned costs before formal audit findings.
Small Business Goal Shortfall,Risk of not meeting mandated small business and disadvantaged business subcontracting targets.,Medium,Preventive,Competition advocate review required for all sole-source justifications above the simplified acquisition threshold.,Preventive,Warranted contracting officer oversight ensuring only authorized individuals execute contract actions.
Intellectual Property Dispute,Risk of disputes over ownership or use of intellectual property developed under agency contracts or grants.,High,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Preventive,Controlled substance inventory management with dual-custody requirements and daily reconciliation.,Detective,Security audit program with periodic assessments of physical security measures and vulnerability identification.
Project Schedule Delay,"Risk of projects exceeding planned timelines, delaying delivery of program outcomes and benefits.",High,Preventive,Risk register maintained for all programs with regular review and mitigation plan updates.,Corrective,Rebaselining procedures for programs with significant schedule or cost variances exceeding established thresholds.
Continuity Supply Stockpile Gap,Risk of insufficient emergency supplies stockpiled for continuity of operations during disruptions.,Medium,Preventive,Property accountability procedures with barcode or RFID tracking and annual certification by responsible officials.,Corrective,Expedited procurement procedures for emergency acquisitions of critical supplies during disruptions.
Ethics Program Weakness,Risk of inadequate ethics training and guidance leading to employee ethics violations.,Medium,Preventive,Annual ethics training with financial disclosure review for all employees in covered positions.,Detective,Ethics hotline providing confidential reporting channel for suspected ethics violations.
Legacy System Failure,"Risk of outdated technology systems failing due to lack of vendor support, patches, or compatible hardware.",Medium,Detective,Security information and event management system aggregating logs from all systems for real-time threat analysis.,Preventive,Removable media controls blocking unauthorized USB devices and requiring encryption for approved devices.
Emission Standard Exceedance,"Risk that industrial facilities exceed established air emission limits, degrading air quality.",Medium,Detective,Satellite imagery analysis combined with field verification for detecting unauthorized discharges and land use changes.,Detective,Self-monitoring report verification through independent sampling and analysis at a statistical sample of facilities.
Controlled Substance Security,Risk of theft or diversion of controlled substances maintained in agency research facilities.,Medium,Preventive,"Personal protective equipment program with hazard assessments, equipment provision, and fit testing.",Detective,Contractor safety performance tracking with stop-work authority for observed unsafe practices.
Grant Duplication of Benefits,Risk of the same activities or costs being funded by multiple grants or federal programs.,Low,Detective,Single audit review process tracking findings related to agency grants with resolution follow-up.,,
Unauthorized Commitment,Risk of employees making commitments or agreements with vendors without proper contracting authority.,High,Preventive,Competition advocate review required for all sole-source justifications above the simplified acquisition threshold.,Preventive,Warranted contracting officer oversight ensuring only authorized individuals execute contract actions.
Contract Compliance Failure,"Risk that contractors fail to meet terms, conditions, or deliverable requirements specified in contracts.",High,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Emission Standard Exceedance,"Risk that industrial facilities exceed established air emission limits, degrading air quality.",Medium,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,Detective,Remote sensing and drone technology for monitoring difficult-to-access sites and large geographic areas.
Regulatory Overlap Confusion,Risk of overlapping regulations across programs creating compliance burdens and enforcement inconsistencies.,High,Preventive,Consent decree compliance monitoring with dedicated staff and periodic self-assessments of obligation fulfillment.,Detective,Legal risk assessment quarterly briefings to senior management on significant pending cases and regulatory challenges.
Counterfeit Parts Introduction,Risk of counterfeit or substandard parts entering the supply chain for laboratory or field equipment.,Medium,Preventive,Vendor diversification strategy maintaining multiple qualified suppliers for all critical materials and services.,Detective,Facility condition assessments identifying deferred maintenance priorities and estimated costs.
Occupational Health Exposure,Risk of employees being exposed to harmful substances during the course of their duties.,High,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
Procurement Fraud,Risk of fraudulent activities during the procurement process including kickbacks and falsified proposals.,Low,Preventive,Competition advocate review required for all sole-source justifications above the simplified acquisition threshold.,Preventive,Warranted contracting officer oversight ensuring only authorized individuals execute contract actions.
Space Utilization Inefficiency,Risk of underutilized or poorly configured office space resulting in unnecessary lease costs.,Medium,Preventive,Environmental management system certified to ISO 14001 for agency facility operations and waste management.,Corrective,Equipment lifecycle replacement planning ensuring timely modernization before failure and obsolescence.
Hazardous Waste Mishandling,"Risk of improper storage, transport, or disposal of hazardous waste materials by regulated entities.",Medium,Detective,Water quality monitoring network with automated sampling and laboratory analysis at key watershed points.,,
Key Personnel Departure,"Risk of losing critical staff members with specialized knowledge, creating operational gaps and knowledge loss.",High,Preventive,Mandatory anti-harassment training for all employees with annual refresher courses and manager-specific modules.,Detective,Time and attendance audit program verifying leave usage patterns and identifying potential abuse.
Water Quality Standard Breach,Risk of water bodies failing to meet established quality standards due to inadequate pollution controls.,Medium,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,Detective,Remote sensing and drone technology for monitoring difficult-to-access sites and large geographic areas.
Master Data Inconsistency,"Risk of conflicting versions of core reference data across systems, causing errors in reporting and analysis.",High,Preventive,"Data validation rules enforced at the point of entry with automated checks for completeness, format, and range.",Detective,Annual privacy compliance review auditing PII handling practices against Privacy Act requirements.
Sole Source Justification Weakness,"Risk of inadequate justification for sole-source contracts, raising fairness and legal concerns.",Medium,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Hazardous Waste Mishandling,"Risk of improper storage, transport, or disposal of hazardous waste materials by regulated entities.",Medium,Corrective,Graduated enforcement response policy with escalating penalties for repeated violations and compliance milestones.,Corrective,Penalty policy ensuring consistent and proportionate enforcement responses across all regional offices.
PFAS Contamination Spread,Risk of per- and polyfluoroalkyl substances spreading through groundwater to drinking water supplies.,High,Preventive,Compliance assistance programs providing technical guidance and self-audit protocols to regulated facilities.,Preventive,Technical assistance workshops for small businesses and municipalities on meeting environmental requirements.
Vehicle Fleet Safety,Risk of accidents involving agency vehicles due to inadequate maintenance or driver training.,Low,Detective,Monthly safety inspection rounds identifying and documenting hazards with tracking of corrective action completion.,Preventive,Ergonomic assessment program providing workstation evaluations and equipment adjustments for at-risk employees.
Contaminated Site Oversight,Risk of inadequate monitoring of contaminated sites leading to undetected spread of pollutants.,High,Preventive,Pre-permit review process with technical evaluation of applicant compliance history and operational capabilities.,Preventive,Public notification requirements for permit applications ensuring community awareness and participation opportunities.
Interagency Agreement Disputes,Risk of financial disagreements arising from interagency service agreements and reimbursable work authorizations.,Medium,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Preventive,Resource management planning tool projecting staffing needs across programs with gap analysis and mitigation.,,
Workplace Harassment,Risk of harassment or hostile work environment claims disrupting operations and damaging agency reputation.,High,Preventive,Knowledge transfer protocols requiring departing employees to document critical processes and train successors.,Preventive,Mentoring program pairing new employees with experienced staff to accelerate knowledge transfer and integration.
Insider Threat - IT,Risk of authorized users intentionally or accidentally compromising IT systems or data integrity.,Low,Corrective,"Incident response plan with defined escalation procedures, communication protocols, and recovery time objectives.",Corrective,Forensic investigation capability for analyzing compromised systems and determining breach scope and impact.
Environmental Results Non-Achievement,Risk of grant-funded projects failing to achieve their stated environmental outcomes and deliverables.,Critical,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,Preventive,"Equipment management clauses in grant agreements specifying tracking, use, and disposition requirements."
Vendor Lock-In,"Risk of becoming dependent on a single vendor for critical services, limiting competition and negotiation leverage.",High,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Employee Misconduct,Risk of employees engaging in unethical or illegal behavior that damages agency credibility and operations.,Low,Detective,Annual employee engagement surveys with trend analysis to identify emerging workforce issues before they escalate.,Preventive,"Leadership development program building supervisory skills in communication, conflict resolution, and performance management."
Shipping and Handling Damage,Risk of sensitive equipment or samples being damaged during transportation between facilities.,Medium,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Past Performance Data Gap,Risk of insufficient contractor past performance data leading to poor source selection decisions.,Medium,Detective,"Post-award contract compliance reviews verifying deliverables, invoices, and performance against contract terms.",Corrective,Claims and disputes resolution process providing timely adjudication of contractor claims and protests.
Archival Storage Failure,Risk of long-term digital archives becoming inaccessible due to format obsolescence or media degradation.,Medium,Detective,"Automated data quality dashboards monitoring key data elements for accuracy, timeliness, and completeness metrics.",Preventive,Information classification guide with clear criteria and examples for each sensitivity level.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Detective,Quarterly vulnerability scanning of all internet-facing systems with remediation tracking and verification.,Detective,Annual penetration testing by independent assessors simulating real-world attack scenarios against agency systems.
Pre-Award Cost Eligibility,Risk of grant recipients incurring costs before the award date that do not meet pre-award cost criteria.,High,Detective,Single audit review process tracking findings related to agency grants with resolution follow-up.,Detective,Comparison of grant-reported outcomes with independent environmental monitoring data for verification.
Strategic Plan Misalignment,Risk of program activities not aligning with the agency's strategic plan goals and objectives.,Medium,Preventive,Change control board process requiring documented justification and impact analysis for scope changes.,Corrective,Rapid improvement events targeting specific process bottlenecks with cross-functional team engagement.
Metadata Management Failure,"Risk of poor metadata practices making data difficult to discover, understand, or reuse across the agency.",Low,Detective,Quarterly FOIA response time tracking with escalation procedures for overdue requests.,Detective,Cross-system reconciliation reports comparing shared data elements between authoritative sources.
Succession Planning Failure,"Risk of inadequate planning for leadership transitions, creating management gaps during turnover.",Medium,Preventive,Knowledge transfer protocols requiring departing employees to document critical processes and train successors.,Preventive,Mentoring program pairing new employees with experienced staff to accelerate knowledge transfer and integration.
Federal Advisory Committee Act Violation,Risk of non-compliance with FACA requirements in obtaining advice from external advisory groups.,Low,Corrective,Post-decision review process analyzing outcomes of challenged enforcement actions to improve future case development.,Corrective,Regulatory amendment process for updating rules when implementation reveals unintended consequences.
Air Monitoring Network Gap,Risk of insufficient air quality monitoring stations leading to undetected pollution in populated areas.,Medium,Corrective,Graduated enforcement response policy with escalating penalties for repeated violations and compliance milestones.,Corrective,Penalty policy ensuring consistent and proportionate enforcement responses across all regional offices.
Grant Competition Fairness,Risk of bias or inconsistency in the competitive grant review and selection process.,Medium,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,Preventive,"Equipment management clauses in grant agreements specifying tracking, use, and disposition requirements."
Stormwater Runoff Contamination,Risk of polluted stormwater runoff reaching waterways due to inadequate controls at construction and industrial sites.,Medium,Corrective,Supplemental environmental project agreements requiring violators to fund environmental improvements in affected communities.,Preventive,Interagency coordination protocols with state environmental agencies for shared enforcement and compliance assistance.
Ransomware Attack,"Risk of malicious software encrypting agency data and systems, demanding payment for restoration.",Medium,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Emergency Preparedness Gap,Risk of inadequate emergency response plans and drills leaving staff unprepared for emergencies.,Medium,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Knowledge Management Gap,Risk of institutional knowledge being lost when experienced staff depart without proper documentation.,Critical,Preventive,Earned value management system tracking schedule and cost performance indices for all major projects.,Detective,Customer satisfaction surveys measuring stakeholder perception of program quality and responsiveness.
Equipment Disposition Non-Compliance,Risk of grant recipients failing to properly account for or dispose of equipment purchased with grant funds.,High,Corrective,Fund recovery procedures for disallowed costs identified through audits or monitoring activities.,Corrective,Specific award conditions imposed on high-risk recipients requiring additional reporting and prior approvals.
Archival Storage Failure,Risk of long-term digital archives becoming inaccessible due to format obsolescence or media degradation.,Medium,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Permit Violation,"Risk that regulated entities operate in violation of issued environmental permits, causing environmental harm.",High,Detective,"Annual compliance data analysis identifying trends, repeat violators, and sectors requiring increased oversight.",Corrective,Compliance schedule agreements providing regulated entities defined timelines to achieve full compliance.
Network Intrusion,Risk of external threat actors gaining unauthorized access to the agency network through exploited vulnerabilities.,Medium,Detective,Quarterly vulnerability scanning of all internet-facing systems with remediation tracking and verification.,Detective,Annual penetration testing by independent assessors simulating real-world attack scenarios against agency systems.
Fee Collection Deficiency,Risk that fees for services or permits are not collected timely or in the correct amounts.,Medium,Corrective,Established procedures for recovering improper payments including demand letters and offset mechanisms.,Preventive,Annual certification by managers that all obligations under their authority are valid and necessary.
Master Data Inconsistency,"Risk of conflicting versions of core reference data across systems, causing errors in reporting and analysis.",High,Detective,"Automated data quality dashboards monitoring key data elements for accuracy, timeliness, and completeness metrics.",Preventive,Information classification guide with clear criteria and examples for each sensitivity level.
Archival Storage Failure,Risk of long-term digital archives becoming inaccessible due to format obsolescence or media degradation.,Medium,Detective,Quarterly FOIA response time tracking with escalation procedures for overdue requests.,Detective,Cross-system reconciliation reports comparing shared data elements between authoritative sources.
Program Income Mismanagement,Risk of grant recipients failing to properly account for and use income generated by grant-funded activities.,Medium,Preventive,"Pre-award risk assessment evaluating applicant financial management systems, past performance, and organizational capacity.",Detective,Data analytics applied to grant expenditure data to identify unusual spending patterns across the portfolio.
